"id","univ_name_cn","univ_name_en","Inst_type","policy_scope","tool_name","tool_specified","linked_to_pass","threshold_rule_index","has_numeric_threshold","metric_type","operator","threshold_value_pct","decision_point","remediation","threshold_text_excerpt","source_url"
6,"南京大学","Nanjing University","comprehensive universities","university-level","VIPS AIGC Detection System",1,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Graduation or thesis progression","Not stated","III. AIGC Detection In order to guide students in the proper and standardized use of generative artificial intelligence tools and to ensure the originality and academic integrity of their final academic work, ""Weipu AIGC Detection"" is made available to schools/departments for this year's graduation theses. The decision","https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm"
9,"华中科技大学","Huazhong University of Science and Technology","comprehensive universities","college-level","CNKI (China National Knowledge Infrastructure) Detection System",1,1,1,0,"AIGC ratio","Not numerically specified",,"Graduation or thesis progression","Yes","Each school (department) shall, based on the aforementioned principles and in consideration of their specific disciplinary characteristics, establish individualized AIGC detection thresholds for graduation projects (theses). Detection results below the threshold may be regarded as normal technical assistance, while res","https://energy.hust.edu.cn/info/1099/6770.htm"
16,"四川大学","Sichuan University","comprehensive universities","university-level","",0,1,1,1,"AIGC ratio","<=",20,"Graduation or thesis progression","Not stated","the proportion of AI-generated content in humanities and social sciences graduation theses (designs) should not exceed 20%, while in science, engineering, and medical fields, it should not exceed 15%. Schools are requested to refer to these r","https://jwc.scu.edu.cn/info/1047/9802.htm"
16,"四川大学","Sichuan University","comprehensive universities","university-level","",0,1,2,1,"AIGC ratio","<=",15,"Graduation or thesis progression","Not stated","duation theses (designs) should not exceed 20%, while in science, engineering, and medical fields, it should not exceed 15%. Schools are requested to refer to these ratios and notify the relevant supervisors and students to address graduation","https://jwc.scu.edu.cn/info/1047/9802.htm"
27,"吉林大学","Jilin University","comprehensive universities","university-level","",0,0,1,0,"AIGC ratio","Not numerically specified",,"Graduation or thesis progression","Not stated","3. Supervising instructors are responsible for the implementation and oversight, rigorously ensuring the content and quality of undergraduate graduation theses (designs). They must enhance supervision and guidance, directing students to scientifically and appropriately use artificial intelligence technology in complian","https://csw.jlu.edu.cn/info/1095/7833.htm"
28,"中南大学","Central South University","comprehensive universities","college-level","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Graduation or thesis progression","Not stated","V. Plagiarism Check and Detection of Dissertations or Practical Works The plagiarism check and detection of dissertations or practical works shall be implemented in accordance with the Regulations on Plagiarism Check and Detection of Graduate Dissertations at Central South University (CSU Graduate Notice [2022] No. 30)","https://gra.csu.edu.cn/info/1021/40210.htm"
39,"南京航空航天大学","Nanjing University of Aeronautics and Astronautics","science and engineering universities","","",0,1,1,1,"AIGC ratio",">",40,"Defense eligibility","Not stated","Details regarding the AIGC detection platform will be announced separately. For students whose detection results exceed 40%, if the school's academic committee confirms the existence of academic misconduct, a delay of at least one month in the","https://cca.nuaa.edu.cn/2025/0401/c15586a371393/page.htm"
44,"西安电子科技大学 ","Xidian University","science and engineering universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Unspecified","Not stated","In order to prevent students from misusing AI tools in thesis writing, a portion of theses submitted for blind review will be randomly selected for AIGC detection (with full coverage for theses from the School of Economics and Management, School of Humanities, and School of Foreign Studies). The detection results will ","https://bksy.xidian.edu.cn/info/1003/26112.htm"
46,"北京交通大学","Beijing Jiaotong University","science and engineering universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Unspecified","Not stated","This year marks the first implementation of the AIGC detection function. Given that the reliability and effectiveness of test reports are not yet fully established, no mandatory regulations will be enforced at this stage. Supervising instructors are advised to consider the conclusions of the AIGC detection report when ","https://civil.bjtu.edu.cn/media/attachments/2025/04/20250429174928_210.pdf
https://civil.bjtu.edu.cn/cms/item/23750.html"
58,"西南交通大学","Southwest Jiaotong University","science and engineering universities","","VIPS AIGC Detection System",1,1,1,1,"AIGC ratio","<=",30,"Graduation or thesis progression","Not stated","In principle, the AIGC detection result for undergraduate graduation projects (theses) should not exceed 30%.","http://jwc.swjtu.edu.cn/vatuu/WebAction?setAction=newsDetail&viewType=web&newsId=92FC166F4FED41B7"
