source_relpath,output_relpath,source_type,source_sha256,status,error,extraction_method,content_characters,dataset_match,dataset_row_id,institution,source_url
00_source_material/01_chinese_original/03_【2025届本科生毕业论文5号】关于本科生毕业论文（设计）查重的说明.html,00_source_material/04_policy_markdown/01_chinese_original/03_【2025届本科生毕业论文5号】关于本科生毕业论文（设计）查重的说明.md,html,6ee2b9ca59d74064d715d77ca9beb8bd214b32840fb93a3fc05f40536d27105e,ok,,special:class-article-content,1161,,,,
00_source_material/01_chinese_original/06_关于加强2025年本科毕业论文（设计）管理工作的通知.html,00_source_material/04_policy_markdown/01_chinese_original/06_关于加强2025年本科毕业论文（设计）管理工作的通知.md,html,77c610658965837f4c3f53700d8cfef875b679951716b903aa514545475fd337,ok,,heuristic:id-class,3240,,,,
00_source_material/01_chinese_original/09_关于做好2025届本科毕业设计(论文)检测工作的通知.html,00_source_material/04_policy_markdown/01_chinese_original/09_关于做好2025届本科毕业设计(论文)检测工作的通知.md,html,aa6bd05018e693a0ed79ee4401a0550264f2493309cc3b85574d7931366f535e,ok,,special:class-v_news_content,2618,,,,
00_source_material/01_chinese_original/10_西安交通大学.pdf,00_source_material/04_policy_markdown/01_chinese_original/10_西安交通大学.md,pdf,8572b49bdb8fad65068490bfad733670da9e351f52133b2758e7b5e9315728b3,ok,,pypdf2:page-text,1125,S1,10,西安交通大学,
00_source_material/01_chinese_original/15_关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.html,00_source_material/04_policy_markdown/01_chinese_original/15_关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.md,html,bc641fd755e378ef8bf7f5d2ddb907e882efaea6d5ea2581397856154152e288,ok,,special:class-v_news_content,1119,S1,16,四川大学,https://jwc.scu.edu.cn/info/1047/9802.htm
00_source_material/01_chinese_original/16_关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.html,00_source_material/04_policy_markdown/01_chinese_original/16_关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.md,html,2486efe0b65213206d8cb285559409e275aeefc4cee77e159917891223ef3335,ok,,heuristic:id-class,1838,,,,
00_source_material/01_chinese_original/26_关于软件学院2025届本科生毕业论文（设计）评阅抽检工作的通知-吉林大学软件学院.html,00_source_material/04_policy_markdown/01_chinese_original/26_关于软件学院2025届本科生毕业论文（设计）评阅抽检工作的通知-吉林大学软件学院.md,html,8be9dd686ed8d997eb8e8cc5be3d50a1330ea025a5d77fc0e586179042ead534,ok,,special:class-v_news_content,2937,S1,27,吉林大学,https://csw.jlu.edu.cn/info/1095/7833.htm
00_source_material/01_chinese_original/27_关于2025年上学期研究生学位授予工作有关事项的通知-研究生院.html,00_source_material/04_policy_markdown/01_chinese_original/27_关于2025年上学期研究生学位授予工作有关事项的通知-研究生院.md,html,5e8e531dcb01a9581650628f57bbc9a823fe66dbd601a24f4fea45c7082129f8,ok,,special:class-v_news_content,2893,,,,
00_source_material/01_chinese_original/36_【本科生教学】关于在2025届本科毕业设计（论文）中规范AI工具使用的通知.html,00_source_material/04_policy_markdown/01_chinese_original/36_【本科生教学】关于在2025届本科毕业设计（论文）中规范AI工具使用的通知.md,html,a7aadf35578794b549a39c3053949067f08e5f8c3f0e53fef82c8917af24ceb0,ok,,heuristic:id-class,1496,,,,
00_source_material/01_chinese_original/40_关于2025年（2021级）本科生毕业设计（论文）盲审工作安排的通知-本科生院 西安电子科技大学.html,00_source_material/04_policy_markdown/01_chinese_original/40_关于2025年（2021级）本科生毕业设计（论文）盲审工作安排的通知-本科生院 西安电子科技大学.md,html,0541b1f79eec51dac48421148ef80cd9c81eaeb0d0ed2efa5ef41e6c7d5aa522,ok,,special:class-v_news_content,1601,,,,
