rank_usnews_2025,uni_name,variable,Coded Value,Original Text Segment,Rationale,retrieval_rd1(2025.7.14-7.30),retrieval_rd2(2025.8.1-8.20),retrieval_rd3(8.22-9.21)
1,Harvard University,D1_tech_limit,1,"Generative AI has made it easier for malicious actors to create sophisticated phishing emails and “deepfakes” (i.e., video or audio intended to convincingly mimic a person’s voice or physical appearance without their consent) at a far greater scale.","Clearly identifies the limitations of AI-generated content (deepfakes), meeting the criteria for ""explicitly mentioning limitations.""",2025/7/14,2025/8/1,2025/8/22
,,D2_proactive,1,"""Students are also encouraged to ask their instructors for clarification about these policies as needed.""","Emphasizes communication and rule-clarification over post-hoc detection, focusing on the transparency of the academic process.",2025/7/14,2025/8/1,2025/8/22
,,D3_responsibility,1,"""AI-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”)...""","Inclusion Rule Met: Clearly identifies technical limitations like ""hallucinations"" and factual errors, serving as a prerequisite for assigning responsibility to the user.",2025/7/14,2025/8/1,2025/8/22
,,D4_ai_as_aid,1,"""...important considerations to keep in mind when using these tools, including information security and data privacy, compliance, copyright, and academic integrity.""",Positions AI usage as a set of competencies (digital literacy) that requires critical understanding of security and ethics.,2025/7/14,2025/8/1,2025/8/22
2,Massachusetts Institute of Technology (MIT),D1_tech_limit,1,"Be aware that information generated by AI may be inaccurate, incomplete, misleading, biased, fabricated...","It clearly points out the limitations of AI-generated content (low accuracy, bias, fabrication, etc.), meeting the criteria for ""explicitly mentioning limitations.""",2025/7/14,2025/8/1,2025/8/22
,,D2_proactive,1,You should disclose the use of generative AI tools... Do not publish research results... without disclosing the nature of the use..,"The policy explicitly introduces ""mandatory disclosure requirements"" and ""attribution statements,"" while guiding faculty to reference the Teaching and Learning Lab's (TLL) assignment design resources. This aligns with the shift from mere detection toward proactive governance.",2025/7/14,2025/8/1,2025/8/22
,,D3_responsibility,1,"You are responsible for the accuracy of any information you publish, including AI-generated content","The policy explicitly assigns ultimate responsibility to users (students/researchers) and emphasizes the necessity of verifying the accuracy of AI outputs, aligning with the ""clear accountability attribution"" criterion.",2025/7/14,2025/8/1,2025/8/22
,,D4_ai_as_aid,1,"encourage community members to consider factors... when choosing to use... software that makes use of generative AI.
list of generative AI tools available at MIT","The policy begins by expressing ""support for responsible experimentation"" and provides a list of university-procured/licensed safety tools, positioning them as auxiliary resources to support research and education, while opposing blanket prohibitions.",2025/7/14,2025/8/1,2025/8/22
3,Stanford University,D1_tech_limit,1,...instructors provide clear advance notice that they may use detection software...","Although the main text does not elaborate on technical limitations, the supplementary note mentions: ""...instructors provide clear advance notice that they may use detection software..."" This should be considered alongside the Stanford Faculty Senate’s public questioning of the accuracy of tools such as Turnitin (as documented in their background materials). Moreover, the policy emphasizes ""consulting the instructor"" rather than relying solely on detection results as the definitive criterion, which aligns with the logic of restricting the use of such outcomes.",2025/7/14,2025/8/1,2025/8/22
,,D2_proactive,1,Students should acknowledge the use of generative AI (other than incidental use) and default to disclosing such assistance when in doubt.,"It explicitly introduces ""mandatory disclosure requirements"" and emphasizes the maintenance of integrity through the establishment of ex-ante rules in syllabi, aligning with the characteristics of proactive governance.",2025/7/14,2025/8/1,2025/8/22
