ID,univ_name_cn,univ_name_en,shanghairank_2025,Inst_type,tool_name,check_level,threshold,policy_summary,source_url,policy_scope,release_date,retrieval_rd1(2025.5.6-5.29),retrieval_rd1(2025.6.1-6.14),retrieval_rd1(6.18-7.11),tool_specified(0/1),check_framework(0/1),linked_to_pass(0/1),snapshot_filename
3,浙江大学,Zhejiang University,3,综合,维普检测系统,本科生,"四、查重检测要求
（1）查重率在10%以下的为通过，根据检测报告做适当修改；
（2）查重率在10%-20%为修改后通过，需要指导教师督促修改并确认；
（3）查重率在20%以上的为不通过，需要重大修改后再次查重；
（4）论文重复率未达到标准，如需修改后重新检测，请于答辩前联系本科教学办，查重率在10%以下方能进入答辩。如经答辩小组判断可以答辩的，视为通过，但需由本人或指导教师提交书面情况说明，答辩小组确认后交本科教学科备案。学生需重视查重后的论文修改，并将查重报告和全文报告单及时发送给自己的指导老师。本次AIGC检测结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。","为强化学术诚信教育，规范本科生在毕业论文（设计）中科学合理使用生成式人工智能技术，防范学术不端，学校决定在2025届本科生毕业论文（设计）查重环节，同步提供AIGC检测机会，具体事宜如下。

一、检测平台

知网查重、AIGC检测功能已链入本科教学管理信息服务平台（网址：zdbk.zju.edu.cn，以下简称教务系统），学生可直接通过教务系统进行毕业论文查重和AIGC检测。",https://physics.zju.edu.cn/2025/0415/c70896a3038237/page.psp,院级,4/15/25,2005/6/25,2006/1/25,6/18/25,1,1,0,浙江大学【2025届本科生毕业论文5号】关于本科生毕业论文（设计）查重的说明.mhtml
6,南京大学,Nanjing University,6,综合,维普检测系统,本科生,"四、查重检测要求
（1）查重率在10%以下的为通过，根据检测报告做适当修改；
（2）查重率在10%-20%为修改后通过，需要指导教师督促修改并确认；
（3）查重率在20%以上的为不通过，需要重大修改后再次查重；
（4）论文重复率未达到标准，如需修改后重新检测，请于答辩前联系本科教学办，查重率在10%以下方能进入答辩。如经答辩小组判断可以答辩的，视为通过，但需由本人或指导教师提交书面情况说明，答辩小组确认后交本科教学科备案。学生需重视查重后的论文修改，并将查重报告和全文报告单及时发送给自己的指导老师。本次AIGC检测结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。","三、AIGC检测

为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普AIGC检测”,由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供单次免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。AIGC检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址https://cloud.fanyu.com/organ/lib/nju。
学生账号：学号
初始密码：nju学号（例如：nju2025123）
检测完成后，学院及学生均可在系统中查询到AIGC检测结果。请各位同学务必注意，在毕业论文生成式人工智能工具使用过程应进行申请备案、并进行完整过程记录以及监督，论文终稿应附《南京大学本科毕业论文（设计）人工智能使用备案表》，所有AIGC检测相关文件以及操作说明请查看附件中AIGC检测相关文件。有给出AIGC检测相关文件；为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普AIGC检测”,由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供单次免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。AIGC检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址https://cloud.fanyu.com/organ/lib/nju。",https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm,校级,5/20/25,2005/7/25,2006/2/25,6/18/25,1,1,0,南京大学关于加强2025年本科毕业论文（设计）管理工作的通知.mhtml
9,华中科技大学,Huazhong University of Science and Technology,9,综合,“中国知网”检测系统,本科生,学院遵循以上原则并结合学科专业特点制定个性化的毕业设计（论文）AIGC检测阈值，检测结果低于阈值可视为正常的技术辅助，超过阈值应启动人工复核或者学术伦理调查。,"五、AIGC（生成式人工智能）检测要求

学校从今年起对毕业设计（论文）进行AIGC检测，在“中国知网”检测系统内上传毕业设计（论文）后， AIGC检测可与常规的论文查重同时进行，AIGC检测结果将和查重结果一并反馈给院（系）。

AIGC用于毕业设计（论文）的使用原则：AIGC仅可作为辅助手段，用于支持学生的学习和研究过程，但不能替代学生的独立思考和原创性贡献。学生应确保AIGC生成的内容不影响其毕业设计（论文）中的创新能力、实践能力和学术价值。学生应对AIGC生成的内容承担最终责任，并确保其符合学术规范和毕业设计（论文）的质量要求。

各院（系）应遵循以上原则并结合学科专业特点制定个性化的毕业设计（论文）AIGC检测阈值，检测结果低于阈值可视为正常的技术辅助，超过阈值应启动人工复核或者学术伦理调查。

鼓励各院（系）各专业发布“禁止使用”、“有限使用”、“鼓励使用”、“开放使用”的具体场景。建议毕业设计（论文）禁用AI生成的环节：文献综述、研究方案设计、创新性方法设计、原始数据收集、理论推导、总结结论等学术创新核心章节。建议毕业设计（论文）可以使用AI辅助的环节：文献检索与整理、二次创作图表类型推荐与辅助制图、非创新性方法的AI工具辅助、参考文献格式整理。",https://energy.hust.edu.cn/info/1099/6770.htm,院级,4/14/25,2005/8/25,2006/2/25,6/19/25,1,1,1,华中科技大学关于做好2025届本科毕业设计(论文)检测工作的通知.mhtml
16,四川大学,Sichuan University,15,综合,,本科生,原则上，文科类毕业论文（设计）AI生成内容占比不超过20%，理工医科类毕业论文（设计）AI生成内容占比不超过15%；请各学院参考该比例，对于检测AIGC比例偏高的毕业论文（设计），通知相关导师和学生进行处理,"三、2025届本科毕业论文（设计）AIGC检测工作从4月10日开始至5月中旬结束，具体安排由各学院自行制定，并通知每位毕业生及指导教师。
学院可以自行选择AIGC检测工具，对本科毕业论文（设计）100%检测，学院保留检测结果备查。根据《四川大学本科教育教学人工智能工具应用规范（试行） 》（川大教〔2025〕28号）文件精神，原则上，文科类毕业论文（设计）AI生成内容占比不超过20%，理工医科类毕业论文（设计）AI生成内容占比不超过15%。请各学院参考该比例，对于检测AIGC比例偏高的毕业论文（设计），通知相关导师和学生进行处理。建议同一个学院的学生使用同一款AIGC检测工具，便于收集检测结果。
四、各学院要加强学术诚信教育，毕业论文(设计)指导教师要加强指导和监督，防止抄袭、剽窃等学术不端行为的发生。
对于使用AI工具过程中出现的违规行为，按照《四川大学本科教育教学人工智能工具应用规范（试行） 》（川大教〔2025〕28号）文件进行处理。",https://jwc.scu.edu.cn/info/1047/9802.htm,校级,2004/9/25,2005/9/25,2006/4/25,6/20/25,0,1,1,四川大学关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.mhtml
17,东南大学,Southeast University,16,综合,维普论文检测系统,本科生, 知网未与我校毕设系统对接，3次查重检测均在知网大学生论文检测系统中进行（毕设系统外查重），网址为：https://pmlc.cnki.net/index.html?domin=seu，用户名为一卡通号，初始密码为a+学号（如学号为01111111，则密码为a01111111）。登录后可提交论文进行查重检测并查看检测报告，学生的查重检测报告需以附件形式上传至毕设系统作为论文审核的依据。,"考虑到学科差异，我校本科毕业论文的查重率由学院根据自身学科情况自行制定，具体的查重率要求学生可咨询所在学院。
  1、维普论文检测系统
  维普论文检测系统1次查重次数+1次AIGC 查重（毕设系统外查重，系统外检测操作手册见附件1），网址为：https://vpcs.fanyu.com/personal/seu，用户名：一卡通号，初始密码：a+学号（如学号为01111111，则密码为a01111111）。
  毕业设计系统定稿提交时2次查重次数，毕业设计系统内自动对接了维普论文检测服务，学生在提交论文定稿后点击“提交查重检测”按钮，系统自动对论文进行查重检测并返回检测结果及检测报告，指导教师可在毕设系统端查看学生的论文检测结果。关于系统维普查重的步骤及常见问题，可参考附件2 论文提交、查重步骤及常见问题（学生）。",https://jwc.seu.edu.cn/2024/0424/c21681a488726/page.htm,校级,4/24/24,2005/10/25,2006/4/25,6/20/25,1,1,1,东南大学关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.mhtml
27,吉林大学,Jilin University,26,综合,,本科生,,3.指导教师负执行监管责任，严格把关本科毕业论文（设计）内容和质量，加强监管与指导，指导学生在遵循学术规范和伦理要求的前提下，科学合理地使用人工智能技术，防止学生使用AI工具进行不当操作或学术不端行为，禁止使用人工智能工具直接生成论文、伪造、篡改原始数据、图表等学术不端行为，本次所有抽检论文将进行AIGC（人工智能生成内容检测）检测，检测结果供同行专家评审参考。,https://csw.jlu.edu.cn/info/1095/7833.htm,校级,2005/9/25,2005/12/25,2006/5/25,6/21/25,0,1,0,吉林大学关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.mhtml
28,中南大学,Central South University,27,综合,,研究生,"
",五、学位论文或实践成果查重与检测。学位论文或实践成果查重与检测按《中南大学研究生学位论文查重与检测管理办法》（中大研字[2022]30号）（https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_XZFW&JLNM=953CFE5C45D04C1D8E047ADC0A80FD1D）文件执行。另外，根据学校最新要求，本学期起将对所有博士、硕士学位论文或实践成果（送审版及最终版）试行AIGC检测，请各二级培养单位按学校有关通知要求做好相关工作。,https://gra.csu.edu.cn/info/1021/40210.htm,院级,4/25/25,2005/12/25,2006/5/25,6/21/25,0,1,0,中南大学关于2025年上学期研究生学位授予工作有关事项的通知-研究生院.mhtml
39,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,36,理工,,本科生,"学校提供AIGC（Artificial Intelligence Generated Content，人工智能生成内容）检测平台辅助指导教师开展毕业设计（论文）指导，学院将在抄袭检测后，按不低于10%的比例组织AIGC抽查检测，检测结果显示的智能生成内容比例原则上不高于40%视为通过，检测通过后方能参加最终答辩，AIGC检测平台相关事宜另行通知。
检测结果超过40%的学生，经学院学术委员会认定，确实存在学术不端行为的，至少延迟1个月答辩，情节严重者按《南京航空航天大学学术不端行为查处办法》（校科字〔2020〕7号）和《南京航空航天大学本科生学籍管理办法》（校教字〔2024〕30号）等相关文件进行处理。","各位老师、同学：

为适应人工智能技术发展，规范我校本科毕业设计（论文）中AI工具的使用，保障学术诚信，提升人才培养质量，根据《南京航空航天大学本科毕业设计（论文）工作管理办法（修订）》（校教字〔2023〕64号）及相关文件精神，结合学校实际，现就有关事项通知如下：

一、AI工具定义

本通知中的AI工具包括生成式人工智能（如Deepseek、ChatGPT、文心一言等）和辅助性AI工具（如语法校对、数据分析工具等）。

二、基本原则

1.合法合规：在毕业设计（论文）中使用AI工具，应符合国家相关法律、政策规定，遵守学术道德规范，不得侵犯他人的知识产权。

2.辅助使用：AI工具只能辅助完成毕业设计（论文）的研究和撰写，不能替代学生的独立思考，AI工具生成的内容应与个人的学术贡献分开，并明确标注。

3.文责自负：使用AI工具生成和处理的内容须进行自查，确保数据和信息应真实可靠，不得篡改或伪造，学生应对全部内容负责。

三、具体要求

允许使用范围

1.文献检索与管理：可辅助文献检索、分类及初步归纳，但文献筛选、引用和观点提炼须由学生独立完成。

2.图表辅助制作：可推荐统计图表类型和辅助制图，但不得生成或修改原始研究数据及关键图表，最终图表需原创。

3.非创新性方法辅助：可辅助完成非创新性研究方法的筛选与推荐，但须经本人审核和测试。

4.参考文献格式整理：可辅助检查参考文献格式规范性，但生成结果需人工核查。

禁止使用范围

1.核心内容生成：禁止完全依赖AI工具进行论文（设计）写作或研究，不得使用AI工具进行研究方案设计、创新性方法设计、算法框架搭建、论文结构设计、数据分析、创新性总结等。

2.数据篡改与虚构：禁止直接使用未经核实的AI工具生成内容，利用AI工具编造、伪造研究数据或篡改实验结果、原始图片等。

3.规避查重：禁止通过AI工具对论文进行“同义改写”“结构重组”等操作以规避查重检测。

4.涉密内容处理：涉及隐私、保密的文字和数据不得上传至AI平台，确保信息安全。

四、标注与说明

学生在本科毕业设计（论文）中使用AI工具应事先征得指导教师同意，并遵循学校及院系相关规定，在《本科毕业论文（设计）AI工具使用情况说明表》（附件1）中明确标注使用的AI工具及其作用，指导教师需对学生AI工具使用的合规性进行审核，确保不影响学生创新能力培养。

五、AIGC检测与违规处理

学校提供AIGC（Artificial Intelligence Generated Content，人工智能生成内容）检测平台辅助指导教师开展毕业设计（论文）指导，学院将在抄袭检测后，按不低于10%的比例组织AIGC抽查检测，检测结果显示的智能生成内容比例原则上不高于40%视为通过，检测通过后方能参加最终答辩，AIGC检测平台相关事宜另行通知。

检测结果超过40%的学生，经学院学术委员会认定，确实存在学术不端行为的，至少延迟1个月答辩，情节严重者按《南京航空航天大学学术不端行为查处办法》（校科字〔2020〕7号）和《南京航空航天大学本科生学籍管理办法》（校教字〔2024〕30号）等相关文件进行处理。附件：南京航空航天大学毕业设计（论文）
AI工具使用情况说明表",https://cca.nuaa.edu.cn/2025/0401/c15586a371393/page.htm,,2004/1/25,5/15/25,2006/6/25,6/22/25,0,1,1,南京航空航天大学【本科生教学】关于在2025届本科毕业设计（论文）中规范AI工具使用的通知.mhtml
44,西安电子科技大学 ,Xidian University,40,理工,,本科生,为避免学生在论文写作中滥用AI工具，本次盲审将抽取部分论文进行AIGC检测（其中经济与管理学院、人文学院、外国语学院论文全覆盖），其检测结果作为盲审评阅的参考。,"提交的全部盲审材料中，禁止出现学生学号、学生姓名、指导教师姓名等信息，否则将被判定为“违规暴露个人信息”，盲审结论不低于“大量修改”。逾期未提交材料的，系统直接判定为“重做”。查重报告中文字复制比>30%或单章节文字复制比>40%的，该毕业设计（论文）直接判定为“重做”。
（七）为避免学生在论文写作中滥用AI工具，本次盲审将抽取部分论文进行AIGC检测（其中经济与管理学院、人文学院、外国语学院论文全覆盖），其检测结果作为盲审评阅的参考。",https://bksy.xidian.edu.cn/info/1003/26112.htm,,4/23/25,5/15/25,2006/7/25,6/24/25,0,1,0,西安电子科技大学关于2025年（2021级）本科生毕业设计（论文）盲审工作安排的通知-本科生院 西安电子科技大学.mhtml
46,北京交通大学,Beijing Jiaotong University,42,理工,,本科生,今年首次使用AIGC检测功能。测试报告结论在检测效果尚不明确的情况下，暂不做硬性规定。请指导教师在审阅论文终稿时，参考AIGC检测报告的结论，进行综合研判，严控学术不端行为。,今年首次使用AIGC检测功能。请指导教师在审阅论文终稿时，参考AIGC检测报告的结论，进行综合研判，严控学术不端行为。,"https://civil.bjtu.edu.cn/media/attachments/2025/04/20250429174928_210.pdf
https://civil.bjtu.edu.cn/cms/item/23750.html",,4/28/25,5/16/25,2006/7/25,6/24/25,0,1,0,北京交通大学-土木建筑工程学院.mhtml
