"id","university_cn_en","check_framework","tool_specified","linked_to_pass","evidence_policy_language"
3,"浙江大学
Zhejiang University",1,1,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation or degree theses, as the original text states that the university has officially decided to provide AIGC detection opportunities synchronously in the duplicate checking link of 2025 undergraduate graduation theses (design) and formulated formal provisions such as detection platforms and checking requirements; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text indicating that the CNKI (China National Knowledge Infrastructure) AIGC detection function has been linked to the undergraduate teaching management information service platform as the designated tool; Linked to pass is coded as 0: AIGC detection results are only advisory and do not affect thesis approval, defense eligibility, or degree conferral, as the original text clearly states the results are for reference only, not a mandatory evaluation standard, and not directly linked to the thesis passing status."
6,"南京大学
Nanjing University",1,1,0,"Check framework is coded as 1: The university explicitly require AIGC detection for graduation or degree theses, as the original text states that ""Vip AIGC detection"" is open to colleges for independent selection and students shall refer to each college's notice for whether detection is needed, without forming a formal mandatory requirement framework; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text clearly indicating the use of ""Vip AIGC detection"" and providing the special login address of the Vip detection system for the university; Linked to pass is coded as 0: AIGC detection results are only advisory and do not affect thesis approval, defense eligibility, or degree conferral, as the original text emphasizes that the detection results are probabilistic analysis based on algorithm models with technical limitations, serving only as an auxiliary reference for academic standardization and not as a basis for determining the originality of the thesis."
9,"华中科技大学
Huazhong University of Science and Technology",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation or degree theses, as the original text states that the university will conduct AIGC detection on graduation projects (theses) starting this year, with clear requirements for detection implementation and usage principles, forming a formal mandatory framework; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text indicating that AIGC detection is performed within the ""CNKI (China National Knowledge Infrastructure)"" detection system and is synchronized with regular paper duplicate checking; Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility, or degree conferral, as the original text requires colleges (departments) to formulate personalized AIGC detection thresholds, and results exceeding the threshold will trigger manual review or academic ethics investigation, which is directly linked to the compliance and approval of the graduation project (thesis)."
16,"四川大学
Sichuan University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as the original text clearly mandates a university-wide AIGC detection process for 2025 undergraduate graduation theses (designs), specifying 100% detection coverage and a defined implementation period from April 10 to mid-May, thus establishing a formal mandatory detection framework; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), as the original text only states that colleges can independently select AIGC detection tools and suggests unified tool use within the same college for result collection, without mentioning any designated or specific detection tool; Linked to pass is coded as 1: AIGC detection results do directly affect thesis approval."
17,"东南大学
Southeast University",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text says each undergraduate student gets 1 AIGC check, so there is a formal mandatory detection framework.Tool specified is coded as 1: The university clearly names a specific AIGC detection tool. It specifies the ""Vipshop Paper Detection System (VPCS)"" and provides details like the website, username and initial password.Linked to pass is coded as 1: AIGC detection results do directly affect thesis approval."
27,"吉林大学
Jilin University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that all sampled papers will undergo AIGC detection, establishing a formal detection requirement.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions AIGC detection for sampled papers but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection).Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text clarifies that the detection results are only for peer expert review reference, not directly linked to graduation requirements."
28,"中南大学
Central South University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation or degree theses. The original text states that AIGC detection will be trialed for all doctoral and master's degree theses or practical achievements (review and final versions) starting from this semester, forming a formal detection requirement. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions the trial implementation of AIGC detection but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text only mentions that AIGC detection is being trialed and requires secondary training units to do related work, without clarifying a direct link between detection results and graduation requirements."
39,"南京航空航天大学
Nanjing University of Aeronautics and Astronautics",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that the school provides an AIGC detection platform, and colleges will organize AIGC random checks at a rate of no less than 10% after plagiarism detection, forming a formal detection requirement.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions that the school provides an AIGC detection platform but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection).Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral. The text clarifies that the AIGC-generated content ratio should not exceed 40% to pass the detection, and only those who pass can participate in the final defense; those with results exceeding 40% may face delayed defense or other penalties."
44,"西安电子科技大学 
Xidian University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that some theses will be selected for AIGC detection during blind review, with full coverage for three specific colleges, establishing a formal detection requirement. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions AIGC detection for selected theses but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text clarifies that the detection results are only for reference in blind review, without linking them to key graduation requirements like passing the thesis or being eligible for defense."
46,"北京交通大学
Beijing Jiaotong University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that AIGC detection is used for the first time this year, and supervisors need to refer to the detection report when reviewing final theses, forming a formal detection requirement. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions the use of AIGC detection and the need to refer to its report but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text only requires supervisors to use the detection report for comprehensive judgment to control academic misconduct, without clarifying a direct link between the results and graduation requirements."
