"id","univ_name","indicator","indicator_label","code_final","text_source_used","evidence_keyword","evidence_excerpt"
1,"Harvard University","detector_mention_any","Detector mention at all",0,"policy_markdown","",""
1,"Harvard University","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
1,"Harvard University","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
1,"Harvard University","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
1,"Harvard University","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
1,"Harvard University","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","detector_mention_any","Detector mention at all",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
2,"Massachusetts Institute of Technology (MIT)","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",1,"policy_markdown","without disclosing | Misconduct","Nondisclosure evidence: ## Be transparent about your use of AI tools You should disclose the use of generative AI tools for all academic, educational, and research-related uses.  Do not publish research results that rely on content generated through the use of a generative AI tool without disclosing the nature of the use of such generative AI tool in producing the content. Sanction hook evidence: ## Protect MIT information and confidential data As with any use of information technology at MIT, ensure that your use of generative AI tools and services complies with all applicable federal and state laws and orders (including, without limitation, FERPA, HIPAA, Massachusetts Data Protection Standards , export control laws, and Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence ), Institute policies (including 10.1 Academic and Research Misconduct , 11.0 Privacy and Disclosure of Personal Information , and 13.0 Information Policies ), follows all guidelines outlined on Information Protection , the Institute's Written Information Security Program (WISP), and complies with any additional policies established by your department, lab, center, or institute (DLCI)."
3,"Stanford University","detector_mention_any","Detector mention at all",1,"policy_markdown","detection software to review work submitted for use of generative AI","As part of the BCA’s guidance on clear communication of a course’s generative AI policy, OCS recommends course instructors provide clear advance notice that they may use detection software to review work submitted for use of generative AI. Other helpful information for faculty and course assistants can be found HERE ."
3,"Stanford University","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
3,"Stanford University","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
3,"Stanford University","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
3,"Stanford University","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
3,"Stanford University","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",0,"policy_markdown","",""
4,"University of Oxford","detector_mention_any","Detector mention at all",0,"policy_markdown","",""
4,"University of Oxford","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
4,"University of Oxford","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
4,"University of Oxford","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
4,"University of Oxford","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
4,"University of Oxford","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",0,"policy_markdown","",""
5,"University of Cambridge","detector_mention_any","Detector mention at all",0,"policy_markdown","",""
5,"University of Cambridge","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
5,"University of Cambridge","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
5,"University of Cambridge","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
5,"University of Cambridge","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
5,"University of Cambridge","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",0,"policy_markdown","",""
6,"University of California Berkeley","detector_mention_any","Detector mention at all",0,"policy_markdown","",""
6,"University of California Berkeley","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
6,"University of California Berkeley","faculty_procedure_suspected_ai_misuse","Faculty procedures for suspected AI misuse",0,"policy_markdown","",""
6,"University of California Berkeley","required_detector_screening","Required detector screening anywhere",0,"policy_markdown","",""
6,"University of California Berkeley","required_disclosure_template","Required disclosure template OR standardized statement language",0,"policy_markdown","",""
6,"University of California Berkeley","sanctions_for_nondisclosure","Sanctions for nondisclosure (incl. attribution failure)",0,"policy_markdown","",""
7,"University College London","detector_mention_any","Detector mention at all",1,"policy_markdown","GenAI detectors","UCL does not use GenAI detectors when marking."
7,"University College London","detector_not_sole_evidence","Detector explicitly not sole evidence",0,"policy_markdown","",""
