"id","univ_name","country_region","rank_usnews_2025","source_url","markdown_relpath","text_source_used","required_disclosure_template","faculty_procedure_suspected_ai_misuse","sanctions_for_nondisclosure","detector_mention_any","detector_not_sole_evidence","required_detector_screening","policy_signal_score","needs_manual_check"
1,"Harvard University","USA",1,"https://www.huit.harvard.edu/ai/guidelines","00_source_material/04_policy_markdown/02_international_original/01_Generative AI Guidelines _ Harvard University Information Technology.md","policy_markdown",0,0,0,0,0,0,0,0
2,"Massachusetts Institute of Technology (MIT)","USA",2,"https://ist.mit.edu/ai-guidance","00_source_material/04_policy_markdown/02_international_original/02_Guidance for use of Generative AI tools _ Information Systems & Technology.md","policy_markdown",0,0,1,0,0,0,1,0
3,"Stanford University","USA",3,"https://communitystandards.stanford.edu/generative-ai-policy-guidance","00_source_material/04_policy_markdown/02_international_original/03_Generative AI Policy Guidance _ Office of Community Standards.md","policy_markdown",0,0,0,1,0,0,1,0
4,"University of Oxford","UK",4,"https://www.ox.ac.uk/research/support-researchers/research-practice/policy-generative-ai-research","00_source_material/04_policy_markdown/02_international_original/04_Policy for using Generative AI in Research_ guidelines for researchers and professional staff _ University of Oxford.md","policy_markdown",0,0,0,0,0,0,0,0
5,"University of Cambridge","UK",5,"https://www.hps.cam.ac.uk/students/academic-misconduct","00_source_material/04_policy_markdown/02_international_original/05_Academic misconduct_ plagiarism and use of AI _ Department of History and Philosophy of Science.md","policy_markdown",0,0,0,0,0,0,0,0
6,"University of California Berkeley","USA",6,"https://oercs.berkeley.edu/appropriate-use-generative-ai-tools","00_source_material/04_policy_markdown/02_international_original/06_Appropriate Use of Generative AI Tools _ Office of Ethics, Risk, and Compliance Services.md","policy_markdown",0,0,0,0,0,0,0,0
7,"University College London","UK",7,"https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment","00_source_material/04_policy_markdown/02_international_original/07_Engaging with Generative AI in your education and assessment _ Students - UCL – University College London.md","policy_markdown",0,1,0,1,0,0,2,0
8,"University of Washington Seattle","USA",8,"https://guides.lib.uw.edu/c.php?g=345664&p=10592021&_gl=1*1d4lvzl*_ga*MTI0OTk1NDY3OC4xNzY2MDQ2NDA2*_ga_3T65WK0BM8*czE3NjYwNDY0MDUkbzEkZzEkdDE3NjYwNDY2ODAkajI5JGwwJGgw*_gcl_au*MTE5MTQ0MjQxNi4xNzY2MDQ2NDA0*_ga_JLHM9WH4JV*czE3NjYwNDY0MDYkbzEkZzEkdDE3NjYwNDY2ODAkajI5JGwwJGgw","00_source_material/04_policy_markdown/02_international_original/08_Using AI Ethically to Enhance Learning - Academic Integrity and Plagiarism Prevention Resources - Library Guides at Univ.md","policy_markdown",0,0,0,0,0,0,0,0
9,"Yale University","USA",9,"https://provost.yale.edu/news/guidelines-use-generative-ai-tools","00_source_material/04_policy_markdown/02_international_original/09_Guidelines for the Use of Generative AI Tools _ Office of the Provost.md","policy_markdown",0,0,0,0,0,0,0,0
10,"Columbia University","USA",10,"https://provost.columbia.edu/content/office-senior-vice-provost/ai-policy","00_source_material/04_policy_markdown/02_international_original/10_Generative AI Policy _ Office of the Provost.md","policy_markdown",0,0,0,1,1,0,2,0
