"id","university_cn_en","check_framework","tool_specified","linked_to_pass","policy_language_exact"
3,"浙江大学
Zhejiang University",1,1,0,"To strengthen academic integrity education, regulate the scientific and reasonable use of generative artificial intelligence technology by undergraduate students in their graduation theses (designs), and prevent academic misconduct, the university has decided to provide AIGC detection alongside plagiarism detection for the 2025 undergraduate graduation theses (designs). Specific arrangements are as follows.

I. Detection Platform

The CNKI plagiarism detection and AIGC detection functions have been integrated into the Undergraduate Academic Management Information Service Platform (website: zdbk.zju.edu.cn, hereinafter referred to as the Academic System). Students can directly conduct graduation thesis plagiarism detection and AIGC detection through the Academic System."
6,"南京大学
Nanjing University",1,1,0,"III. AIGC Detection

In order to guide students in the proper and standardized use of generative artificial intelligence tools and to ensure the originality and academic integrity of their final academic work, ""Weipu AIGC Detection"" is made available to schools/departments for this year's graduation theses. The decision to use this detection function is at the discretion of each school/department (please follow the notification from your respective school/department regarding whether detection is required). This service provides students with a single free detection opportunity. The detection results are based on probabilistic analysis of algorithmic models, have technical limitations, and are intended **only as an auxiliary reference for academic norm compliance, not as a definitive basis for judging the originality of a thesis**. AIGC detection can be conducted in two modes: student-initiated detection or centralized upload by the school/department. Access is required through the graduation thesis management system at the dedicated university login address for the Weipu detection system: `https://cloud.fanyu.com/organ/lib/nju`.

Student Account: Student ID Number
Initial Password: nju[Student ID Number] (e.g., nju2025123)

After the detection is completed, both the school/department and the student can view the AIGC detection results within the system. Please note, students **must** apply for record-filing, maintain complete process documentation, and undergo supervision during the use of generative AI tools for their graduation thesis. The final thesis version must include the *Nanjing University Undergraduate Graduation Thesis (Design) Artificial Intelligence Use Record Form*. All documents and operating instructions related to AIGC detection can be found in the attached AIGC detection files."
9,"华中科技大学
Huazhong University of Science and Technology",1,1,1,"V. AIGC (Generative Artificial Intelligence) Detection Requirements

Starting this year, the university will conduct AIGC detection on graduation projects (theses). After uploading the graduation project (thesis) to the ""China National Knowledge Infrastructure"" (CNKI) detection system, AIGC detection can be performed simultaneously with the conventional plagiarism check. The AIGC detection results, along with the plagiarism check results, will be provided to the respective schools (departments).

Principles for the Use of AIGC in Graduation Projects (Theses):
AIGC may only be used as an auxiliary tool to support students' learning and research processes and must not replace students' independent thinking and original contributions. Students should ensure that content generated by AIGC does not compromise the innovative capabilities, practical skills, or academic value demonstrated in their graduation projects (theses). Students bear ultimate responsibility for content generated by AIGC and must ensure it adheres to academic standards and meets the quality requirements of the graduation project (thesis).

Each school (department) should, based on the above principles and in consideration of their specific disciplinary characteristics, establish individualized AIGC detection thresholds for graduation projects (theses). Results below the threshold may be considered normal technical assistance, while results exceeding the threshold should trigger manual review or an academic ethics investigation.

Schools (departments) and individual disciplines are encouraged to publish specific scenarios categorized as ""Prohibited Use,"" ""Limited Use,"" ""Encouraged Use,"" and ""Open Use."" It is recommended that the following core chapters involving academic innovation in graduation projects (theses) prohibit the use of AI-generated content: literature review, research design, innovative methodology design, original data collection, theoretical derivation, conclusions, etc. AI assistance is suggested for the following aspects of graduation projects (theses): literature search and organization, recommendation and assistance in creating secondary chart types, AI tool assistance for non-innovative methods, and reference formatting."
16,"四川大学
Sichuan University",1,0,1,"IV. Schools must strengthen academic integrity education, and graduation thesis (design) supervisors must enhance guidance and oversight to prevent academic misconduct such as plagiarism and appropriation.
Any violations arising from the use of AI tools will be addressed in accordance with the Sichuan University Undergraduate Education and Teaching Artificial Intelligence Tool Application Regulations (Trial) (University Education [2025] No. 28)."
17,"东南大学
Southeast University",1,1,1,"Considering the differences across disciplines, the similarity check rate for undergraduate theses at our university is determined independently by each school based on the specific requirements of their respective fields. Students are advised to consult their respective schools for the specific similarity check rate requirements.

. VIPS (Weipu) Paper Detection System

Students are provided with 1 similarity check opportunity + 1 AIGC check opportunity (external to the graduation project system; please refer to Attachment 1 for the external system operation manual). The website is: [https://vpcs.fanyu.com/personal/seu](https://vpcs.fanyu.com/personal/seu), Username: Campus Card Number, Initial Password: a + Student ID (e.g., if the student ID is 01111111, the password is a01111111).

Additionally, upon submitting the final draft in the graduation project system, 2 similarity check opportunities are granted. The system automatically integrates the VIPS paper detection service. After submitting the final thesis, students can click the ""Submit for Similarity Check"" button, and the system will automatically perform the similarity check and return the detection results and report. Instructors can view the students' paper detection results on the graduation project system interface. For steps and common issues regarding the VIPS similarity check within the system, please refer to Attachment 2: Thesis Submission, Similarity Check Steps, and Common Issues (for Students)."
27,"吉林大学
Jilin University",1,0,0,"3. Supervising instructors are responsible for the implementation and oversight, rigorously ensuring the content and quality of undergraduate graduation theses (designs). They must enhance supervision and guidance, directing students to scientifically and appropriately use artificial intelligence technology in compliance with academic norms and ethical requirements. This is to prevent students from using AI tools for improper actions or academic misconduct, including the direct generation of theses, fabrication, or tampering with original data, charts, and other forms of academic dishonesty. All randomly inspected theses in this round will undergo AIGC (AI-generated content detection) testing, and the results will serve as a reference for evaluation by peer experts."
28,"中南大学
Central South University",1,0,0,"V. Plagiarism Check and Detection of Dissertations or Practical Works

The plagiarism check and detection of dissertations or practical works shall be implemented in accordance with the Regulations on Plagiarism Check and Detection of Graduate Dissertations at Central South University (CSU Graduate Notice [2022] No. 30) (https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_XZFW&JLNM=953CFE5C45D04C1D8E047ADC0A80FD1D). Additionally, as per the latest university requirements, AIGC detection will be piloted for all doctoral and master's dissertations or practical works (both the review version and the final version) starting this semester. All secondary training units are requested to carry out the relevant work in compliance with the university's notifications."
39,"南京航空航天大学
Nanjing University of Aeronautics and Astronautics",1,0,1,"To All Faculty and Students,

In response to the advancement of artificial intelligence technology, and in order to regulate the use of AI tools in undergraduate graduation projects (theses) at our university, uphold academic integrity, and enhance the quality of talent cultivation, the following matters are hereby notified in accordance with the Nanjing University of Aeronautics and Astronautics Administrative Measures for Undergraduate Graduation Projects (Theses) (Revised) (University Academic Notice [2023] No. 64) and related documents, as well as the university’s practical circumstances:

I. Definition of AI Tools
The AI tools referred to in this notice include generative artificial intelligence (e.g., DeepSeek, ChatGPT, ERNIE Bot, etc.) and auxiliary AI tools (e.g., grammar checkers, data analysis tools, etc.).

II. Fundamental Principles
Legality and Compliance: The use of AI tools in graduation projects (theses) must comply with national laws, regulations, and policies, adhere to academic ethics, and must not infringe upon the intellectual property rights of others.

Auxiliary Use: AI tools may only assist in the research and writing of graduation projects (theses) and must not replace students’ independent thinking. Content generated by AI tools must be clearly distinguished from the student’s own academic contributions and appropriately documented.

Author Responsibility: Students must independently verify content generated or processed by AI tools to ensure the authenticity and reliability of data and information, and refrain from tampering or fabrication. Students bear full responsibility for all content.

III. Specific Requirements
Permitted Usage
Literature Search and Management: May assist in literature retrieval, categorization, and preliminary summarization. However, literature selection, citation, and critical analysis must be performed independently by the student.

Chart Creation Assistance: May recommend statistical chart types and assist in chart creation, but must not generate or modify original research data or key charts. Final charts must be original.

Assistance with Non-Innovative Methods: May assist in selecting or recommending non-innovative research methods, provided that students review and test such methods independently.

Reference Formatting: May assist in checking the formatting of references, but generated results must be manually verified.

Prohibited Usage
Core Content Generation: It is strictly prohibited to rely entirely on AI tools for thesis (design) writing or research. AI tools must not be used for research proposal design, innovative methodology design, algorithm framework construction, thesis structure design, data analysis, or summarizing innovations.

Data Tampering and Fabrication: It is strictly prohibited to directly use unverified AI-generated content, fabricate or falsify research data using AI tools, or tamper with experimental results, original images, etc.

Avoiding Plagiarism Detection: It is strictly prohibited to use AI tools for ""paraphrasing"" or ""structural reorganization"" of theses to evade plagiarism detection.

Handling of Confidential Content: Text or data involving privacy or confidentiality must not be uploaded to AI platforms to ensure information security.

IV. Documentation and Explanation
Students must obtain prior approval from their supervising instructor before using AI tools in their undergraduate graduation projects (theses) and adhere to relevant university and departmental regulations. The specific AI tools used and their purposes must be clearly documented in the Undergraduate Graduation Thesis (Design) AI Tool Usage Declaration Form (Attachment 1). Supervising instructors are responsible for reviewing the compliance of students’ AI tool usage to ensure it does not hinder the cultivation of innovative capabilities.

V. AIGC Detection and Violation Handling
The university provides an AIGC (Artificial Intelligence Generated Content) detection platform to assist supervising instructors in guiding graduation projects (theses). Following plagiarism detection, departments will conduct random AIGC spot checks at a rate of no less than 10%. A detected AI-generated content ratio not exceeding 40% in principle will be considered acceptable. Only after passing the AIGC detection will students be eligible for the final defense. Details regarding the AIGC detection platform will be announced separately.

For students whose detection results exceed 40%, if the department’s academic committee confirms academic misconduct, a delay of at least one month in the defense will be imposed. In severe cases, penalties will be applied in accordance with relevant regulations such as the Nanjing University of Aeronautics and Astronautics Measures for Addressing Academic Misconduct (University Research Notice [2020] No. 7) and the Nanjing University of Aeronautics and Astronautics Undergraduate Student Status Management Measures (University Academic Notice [2024] No. 30).

Attachment:
Nanjing University of Aeronautics and Astronautics Graduation Project (Thesis) AI Tool Usage Declaration Form"
44,"西安电子科技大学 
Xidian University",1,0,0,"All materials submitted for blind review must not contain any student information (including student ID, name, or supervisor’s name). Any violation will be deemed ""unauthorized disclosure of personal information,"" and the blind review outcome will be assessed as no less than ""major revisions required."" Failure to submit materials by the deadline will result in an automatic assessment of ""redo"" in the system.

If the text similarity rate in the plagiarism check report exceeds 30%, or the similarity rate of any single chapter exceeds 40%, the graduation project (thesis) will be directly assessed as ""redo.""

(7) To prevent misuse of AI tools by students in thesis writing, a portion of theses submitted for blind review will be randomly selected for AIGC detection (with full coverage for theses from the School of Economics and Management, School of Humanities, and School of Foreign Studies). The detection results will serve as a reference in the blind review evaluation process."
46,"北京交通大学
Beijing Jiaotong University",1,0,0,"This year marks the inaugural implementation of the AIGC detection function. Instructors are advised to refer to the conclusions of the AIGC detection report when reviewing the final draft of the thesis, and to conduct a comprehensive assessment in order to rigorously control academic misconduct."
